District,Year,Electricity,Time to get water,Wealth factor,HH heads w/o formal education,Literacy rt of hh heads,Female head of hh,FEI,Avg hh size
KOLDA,2018,3.7025,59.3341,1.5869,86.91,17.61,5.3753,0.9234,11.8518
KOLDA,2019,4.8371,55.7899,1.8023,76.98,26.74,9.8298,0.1142,9.885
KOLDA,2020,,,,72.88,34.44,4.5397,0.2621,10.4149
KOLDA,2021,,,,,,,,
LOUGA,2015,5.6008,59.9795,2.6886,,,,,
LOUGA,2016,7.5957,,2.6216,,,,,
LOUGA,2017,8.3975,79.0297,2.6182,75.095,33.4347,6.0633,0.7044,8.8211
LOUGA,2018,7.9199,77.2608,2.6796,80.37,26.49,9.2657,0.488,8.9256
LOUGA,2019,8.7909,74.8286,2.9398,79.19,27.47,10.6728,0.4872,8.3179
LOUGA,2020,,,,80.53,31.12,9.4596,0.1385,8.3118
LOUGA,2021,,,,,,,,
MATAM,2015,6.4755,65.5388,2.4749,,,,,
MATAM,2016,6.7038,,2.5057,,,,,
MATAM,2017,7.4054,71.1706,2.4348,95.3868,,9.4163,0.7352,7.9906
MATAM,2018,8.4041,64.5252,2.3874,96.02,8.06,21.4573,0.1908,11.6462
MATAM,2019,8.3859,79.0826,2.4756,94.1,21.38,6.8082,0.0956,9.8747
MATAM,2020,,,,86.09,20.78,14.5838,0.1156,11.2072
MATAM,2021,,,,,,,,
SAINT-LOUIS,2015,7.5132,73.133,2.856,,,,,
SAINT-LOUIS,2016,8.5191,,2.7922,,,,,
SAINT-LOUIS,2017,9.1209,74.2785,2.9604,85.5626,29.3572,4.6302,0.8322,8.7104
SAINT-LOUIS,2018,10.1164,84.0105,3.0009,88.47,20.01,15.6252,0.127,9.8512
SAINT-LOUIS,2019,8.0366,64.3799,2.9767,74.48,28.65,5.9901,0.4138,10.0064
SAINT-LOUIS,2020,,,,60.14,56.8,13.33,0.0844,6.6129
SAINT-LOUIS,2021,,,,,,,,
SEDHIOU,2015,5.0314,34.8111,2.1861,,,,,
SEDHIOU,2016,5.6575,,1.9091,,,,,
SEDHIOU,2017,4.9124,40.6997,1.8836,71.5071,33.7451,12.4553,0.3655,9.9778
SEDHIOU,2018,6.6089,42.3107,1.9167,69.4,41.65,8.9811,0.885,12.3447
SEDHIOU,2019,4.8953,33.5324,1.7828,70.99,29.86,14.0933,0.1529,13.0945
SEDHIOU,2020,,,,72.79,41.43,7.4676,0.7276,11.6782
SEDHIOU,2021,,,,,,,,
TAMBACOUNDA,2015,8.4171,31.8265,1.8201,,,,,
TAMBACOUNDA,2016,8.392,,1.9504,,,,,
TAMBACOUNDA,2017,6.3608,52.5827,2.0463,91.3793,13.9889,4.2829,0.6785,7.883
TAMBACOUNDA,2018,6.5731,51.9346,2.0809,91.69,12.99,8.3399,0.4786,9.4314
TAMBACOUNDA,2019,9.4567,65.959,2.5559,87.6,18.05,2.7628,0.8071,10.4632
TAMBACOUNDA,2020,,,,90.04,20,5.9246,0.101,11.0607
TAMBACOUNDA,2021,,,,,,,,
THIES,2015,11.0594,73.7616,3.4789,,,,,
THIES,2016,10.777,,3.4511,,,,,
THIES,2017,10.5227,78.6919,3.3283,81.9964,26.7402,6.0263,0.7413,9.0607
THIES,2018,11.6925,89.2335,3.4829,82.84,22.07,11.0125,0.4208,11.5222
THIES,2019,10.5104,77.036,3.514,72.77,28.95,12.7957,0.5691,8.5874
THIES,2020,,,,65.77,44.52,10.1376,0.0851,10.1948
THIES,2021,,,,,,,,
ZIGUINCHOR,2015,9.5373,39.4611,2.8409,,,,,
ZIGUINCHOR,2016,8.5801,,2.9234,,,,,
ZIGUINCHOR,2017,9.2963,56.8368,2.739,39.8627,62.361,7.6555,0.8282,9.6553
ZIGUINCHOR,2018,9.0393,56.8416,2.7301,46.42,55.97,26.5761,0.6787,9.0311
ZIGUINCHOR,2019,10.7968,69.8499,2.6501,53.81,50.64,4.174,0.7712,10.7826
ZIGUINCHOR,2020,,,,46.06,56.3,23.2735,0.4194,8.1425
ZIGUINCHOR,2021,,,,,,,,
